orcid_origin,pmid,doi,article_qnr,all_authors_qnr
0000-0003-3102-2942,nan,10.1002/1873-3468.12637,Q51075032,"['Q58656358', 'Q85669261', 'Q87733049']"
0000-0003-3102-2942,nan,10.1186/1471-2148-14-96,Q33612400,['Q87733049']
0000-0002-3150-7942,nan,10.1080/15424060903585768,Q58522828,
0000-0002-3150-7942,27815394.0,10.1177/1524839916676263,Q38999157,['Q89795186']
0000-0002-1153-0942,nan,10.1088/2041-8205/748/1/L10,Q58263369,"['Q17378081', 'Q26251272', 'Q47451357', 'Q53974878', 'Q53975055', 'Q54121135', 'Q56481079', 'Q56482935', 'Q58263710', 'Q58263763', 'Q58264354', 'Q58265840', 'Q59398343', 'Q59675206', 'Q60784972', 'Q60814737', 'Q60870337']"
0000-0002-1153-0942,nan,10.1088/0004-637X/769/2/141,Q58302915,"['Q47451357', 'Q53974878', 'Q53975055', 'Q54217895', 'Q56476274', 'Q56482935', 'Q56559084', 'Q58263710', 'Q58263763', 'Q58264488', 'Q58666717', 'Q60870337']"
0000-0002-1153-0942,nan,10.1051/0004-6361/201015370,Q55888147,"['Q26251272', 'Q56559084', 'Q58263763', 'Q60870337']"
0000-0002-1153-0942,nan,10.1051/0004-6361/201015188,Q68998109,
0000-0002-1153-0942,nan,10.1088/0004-637X/733/2/95,Q58328340,"['Q17378081', 'Q26251272', 'Q37619934', 'Q53974878', 'Q53975055', 'Q54121135', 'Q56482935', 'Q56507936', 'Q56559084', 'Q57488734', 'Q58263710', 'Q58263763', 'Q58263885', 'Q59398343', 'Q59400195', 'Q59675206', 'Q60784972', 'Q60870337']"
0000-0002-1153-0942,nan,10.1051/0004-6361/201116620,Q58328329,"['Q17378081', 'Q26251272', 'Q37619934', 'Q53952976', 'Q53975055', 'Q54121135', 'Q56482935', 'Q56559084', 'Q57488734', 'Q58263710', 'Q58263763', 'Q58263885', 'Q59398343', 'Q59400195', 'Q59675206', 'Q60784972', 'Q60870337']"
0000-0002-1153-0942,nan,10.1051/0004-6361/201117037,Q58302958,"['Q17378081', 'Q26251272', 'Q37619934', 'Q47451357', 'Q53975055', 'Q54121135', 'Q54215188', 'Q54217847', 'Q54217895', 'Q56482935', 'Q56559084', 'Q56561527', 'Q57488734', 'Q58263763', 'Q59675206', 'Q60870337']"
0000-0002-1153-0942,nan,10.1051/0004-6361/200913405,Q55889824,"['Q26251272', 'Q53951828', 'Q53997762', 'Q56559084']"
0000-0002-1153-0942,nan,10.1088/0004-637X/760/1/32,Q58263353,"['Q26251272', 'Q42883221', 'Q53974878', 'Q53975055', 'Q54217847', 'Q54217895', 'Q56476274', 'Q56481079', 'Q56482935', 'Q56559084', 'Q58263763', 'Q58666717', 'Q60784972', 'Q60870337']"
0000-0002-1153-0942,nan,10.1051/0004-6361/201424537,Q69067819,
0000-0002-1153-0942,nan,10.1051/0004-6361/201321849,Q69054871,
0000-0002-1153-0942,nan,10.1088/2041-8205/713/2/L169,Q56442264,"['Q17378081', 'Q26251272', 'Q37619934', 'Q47451357', 'Q53952976', 'Q53975055', 'Q53987479', 'Q54121135', 'Q54217895', 'Q56481079', 'Q56482935', 'Q56507936', 'Q56559084', 'Q56561527', 'Q57488734', 'Q58263710', 'Q58263763', 'Q58263885', 'Q58266109', 'Q58266398', 'Q58266406', 'Q58266419', 'Q58666717', 'Q59398343', 'Q59400195', 'Q59675206', 'Q60784972', 'Q60870337']"
0000-0002-1153-0942,nan,10.1088/0004-637X/763/1/49,Q59397218,"['Q26251272', 'Q37619934', 'Q53975055', 'Q54121135', 'Q54217847', 'Q54217895', 'Q56482935', 'Q56559084', 'Q56561527', 'Q58263763', 'Q59675206', 'Q60870337']"
0000-0002-1153-0942,nan,10.1051/0004-6361/201015801,Q68997054,
0000-0002-1153-0942,nan,10.1088/0004-637X/749/2/152,Q58302952,"['Q17378081', 'Q26251272', 'Q37619934', 'Q47451357', 'Q53975055', 'Q54121135', 'Q56482935', 'Q56559084', 'Q57488734', 'Q57514481', 'Q58263710', 'Q58263763', 'Q59398343', 'Q59400195', 'Q59675206', 'Q60784972', 'Q60870337']"
0000-0003-3089-8942,nan,10.1366/10-06215,Q38463431,"['Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.1364/AO.49.000542,Q60134448,"['Q40426139', 'Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.1364/AO.50.001717,Q38464246,"['Q40426139', 'Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.1088/0957-0233/24/4/045003,Q60134377,"['Q40426139', 'Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.2514/1.A32752,Q60134347,"['Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.1109/I2MTC.2012.6229508,Q60134414,"['Q40426139', 'Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.1109/TIM.2013.2245185,Q60134394,"['Q40426139', 'Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.1115/1.4025367,Q60134354,"['Q40426139', 'Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.1080/00140139.2014.961969,Q39128897,"['Q40426139', 'Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.1080/00140139.2013.776704,Q45303909,"['Q40426139', 'Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.1117/12.2028644,Q60125819,"['Q53478285', 'Q54185033', 'Q57908778']"
0000-0003-3089-8942,nan,10.1109/I2MTC.2012.6229488,Q60134411,"['Q40426139', 'Q53478285', 'Q57908778']"
0000-0003-3089-8942,nan,10.1080/00140139.2014.945494,Q53478157,"['Q40426139', 'Q53478285', 'Q57908778']"
0000-0002-8886-1942,nan,10.1007/978-1-62703-383-1_17,Q34754984,"['Q53379779', 'Q54152546', 'Q56544749']"
0000-0002-8886-1942,nan,10.1186/1471-2229-7-54,Q33302566,"['Q47899290', 'Q54152546']"
0000-0002-8886-1942,nan,10.1515/HF.2005.XXX,Q61703004,
0000-0002-8886-1942,nan,10.1023/A:1011241617946,Q56982269,"['Q50638882', 'Q54152546']"
0000-0002-8886-1942,nan,10.1007/BF02619480,Q60548722,
0000-0002-8886-1942,nan,10.1007/BF01103468,Q33705555,['Q54152546']
0000-0002-8886-1942,nan,10.1007/978-1-62703-383-1_18,Q45006562,"['Q53379779', 'Q54152546']"
0000-0002-8886-1942,nan,10.1186/1472-6750-9-92,Q33514131,"['Q47899290', 'Q54152546', 'Q56448463', 'Q58870021']"
0000-0002-8886-1942,nan,10.1023/A:1022846304826,Q33187881,['Q54152546']
0000-0002-8886-1942,nan,10.1023/A:1024036803997,Q33187944,['Q54152546']
0000-0002-8886-1942,nan,10.1007/BF00258142,Q34352910,
0000-0002-8886-1942,nan,10.1128/AEM.00977-07,Q33292108,"['Q54152546', 'Q64655288']"
0000-0002-0761-1942,nan,10.1080/11038128.2017.1367415,Q38613835,['Q81498536']
0000-0002-0761-1942,nan,10.1080/10400435.2017.1367737,Q47689740,['Q81498536']
0000-0002-0761-1942,nan,10.1080/11038120802409762,Q82096623,['Q81498536']
0000-0002-0761-1942,nan,10.1080/11038128.2016.1267259,Q39104675,['Q81498536']
0000-0002-0761-1942,nan,10.1080/11038120701858804,Q37196906,['Q81498536']
0000-0002-0761-1942,nan,10.3109/11038128.2015.1044907,Q50912394,"['Q81498536', 'Q85227867']"
0000-0001-6503-6942,nan,10.1042/0264-6021:3410089,Q56804224,"['Q39599984', 'Q41561816', 'Q42847704']"
0000-0001-6503-6942,11314743.0,10.1007/BF03343835,Q43583587,['Q42847704']
0000-0001-6503-6942,nan,10.1016/S1357-4310(99)01620-2,Q33818742,
0000-0001-6503-6942,10377248.0,10.1042/0264-6021:3410089,Q56804224,"['Q39599984', 'Q41561816', 'Q42847704']"
0000-0001-6503-6942,2096158.0,10.1007/BF03349629,Q70293701,
0000-0001-6503-6942,1560188.0,10.1007/BF03348650,Q48566532,
0000-0001-6503-6942,10637573.0,10.1016/S1357-4310(99)01620-2,Q33818742,
0000-0001-6503-6942,10403172.0,10.1016/S0300-9084(99)80092-3,Q33867754,['Q42847704']
0000-0001-6503-6942,nan,10.3275/8973,Q38108710,"['Q42847704', 'Q64495559']"
0000-0001-6503-6942,nan,10.1016/S0300-9084(99)80092-3,Q33867754,['Q42847704']
0000-0001-6503-6942,17318014.0,10.1007/BF03347387,Q79820174,['Q42847704']
0000-0001-6503-6942,8463555.0,10.1007/BF03347657,Q70636659,
0000-0001-6503-6942,23698639.0,10.3275/8973,Q38108710,"['Q42847704', 'Q64495559']"
0000-0001-6503-6942,nan,10.1016/S0959-437X(99)80043-4,Q33665843,['Q42847704']
0000-0001-6503-6942,19542741.0,10.1007/BF03346459,Q84097434,['Q42847704']
0000-0001-6503-6942,10377281.0,10.1016/S0959-437X(99)80043-4,Q33665843,['Q42847704']
0000-0001-6503-6942,21060249.0,10.3275/7331,Q82366000,"['Q42847704', 'Q55816140', 'Q59663456']"
0000-0003-2466-6942,24592334.0,10.1155/2014/151572,Q35109981,
0000-0003-4450-1942,nan,10.1080/00981389.2010.518885,Q30396786,
0000-0003-4450-1942,nan,10.1080/17290376.2013.807052,Q30432526,
0000-0003-4450-1942,nan,10.1177/0021909608101412,Q56832129,
0000-0003-4450-1942,nan,10.1177/0272684X15592757,Q38921146,['Q37830949']
0000-0003-4450-1942,24156481.0,10.1186/2049-9957-2-25,Q30588322,"['Q43124716', 'Q54246559']"
0000-0001-6260-1942,nan,10.1097/MCD.0000000000000042,Q87631720,['Q60167843']
0000-0001-6260-1942,nan,10.1080/15513815.2017.1379039,Q47567589,
0000-0001-6260-1942,nan,10.3109/13816810.2013.811269,Q41931822,
0000-0001-6260-1942,nan,10.1097/MCD.0000000000000037,Q38199284,['Q85710166']
0000-0001-6260-1942,nan,10.1186/1750-1172-9-60,Q33615956,['Q47372393']
0000-0001-6260-1942,nan,10.1097/00019605-199810000-00012,Q77583586,
0000-0001-6260-1942,nan,10.1177/0883073815627884,Q87156570,
0000-0001-6260-1942,nan,10.1080/15513815.2019.1639089,Q91860158,
0000-0001-6260-1942,nan,10.1002/(SICI)1096-8628(19990528)84:3<202::AID-AJMG6>3.0.CO;2-O,Q51984688,
0000-0001-6260-1942,nan,10.1159/000334289,Q35888762,
0000-0001-6260-1942,nan,10.1016/S0165-4608(99)00099-0,Q73314736,
0000-0001-6260-1942,nan,10.1097/00019605-200204000-00010,Q34523049,
0000-0001-6260-1942,nan,10.1172/JCI80102,Q36106023,"['Q7598948', 'Q28039310', 'Q30500456', 'Q40179548', 'Q55692786', 'Q71356275']"
0000-0001-6260-1942,nan,10.1177/0883073813484967,Q34340905,
0000-0001-6260-1942,nan,10.1159/000106438,Q36954252,
0000-0001-6260-1942,nan,10.1177/088307389901400305,Q77220082,
0000-0001-6260-1942,nan,10.1023/A:1005444903597,Q33503830,
0000-0001-9987-7942,nan,10.1186/1471-2164-9-591,Q33390756,"['Q42396329', 'Q56250407', 'Q57147275', 'Q58218875']"
0000-0001-6378-6942,nan,10.1186/1757-7241-18-1,Q33663205,"['Q47728365', 'Q58494289', 'Q58494336']"
0000-0001-6378-6942,nan,10.1016/S0300-9572(03)00026-1,Q35126857,['Q58494336']
0000-0003-1052-0942,nan,10.1155/2010/695025,Q58653274,
0000-0002-8656-7942,nan,10.1088/1475-7516/2007/04/010,Q56656809,"['Q54034220', 'Q56849419', 'Q60756249']"
0000-0002-8656-7942,nan,10.1088/1475-7516/2014/12/054,Q58022416,"['Q57093419', 'Q63357366']"
0000-0002-8656-7942,nan,10.1088/1475-7516/2015/10/014,Q58022363,"['Q57093419', 'Q63357366']"
0000-0002-8656-7942,nan,10.1088/1475-7516/2009/02/008,Q27014707,"['Q54034220', 'Q56849419', 'Q60756249']"
0000-0002-8656-7942,nan,10.1063/1.2348065,Q58022616,
0000-0002-8656-7942,nan,10.1088/1742-6596/173/1/012018,Q58022540,['Q57093419']
0000-0002-8656-7942,nan,10.1088/1475-7516/2013/11/054,Q58022438,"['Q57093419', 'Q63357366']"
0000-0002-8656-7942,nan,10.1088/1475-7516/2014/10/052,Q58022410,['Q57093419']
0000-0002-8656-7942,nan,10.1063/1.3232173,Q58022525,['Q57093419']
0000-0002-8656-7942,nan,10.1017/S1743921317001089,Q58022346,['Q57093419']
0000-0002-8656-7942,nan,10.1142/S0217751X04019548,Q58022652,
0000-0002-8656-7942,nan,10.1007/JHEP07(2016)095,Q58022343,"['Q57093419', 'Q63357340']"
0000-0002-8656-7942,nan,10.1088/1475-7516/2009/12/002,Q58022549,"['Q54034220', 'Q56849419', 'Q60756249']"
0000-0002-8656-7942,nan,10.1109/NSSMIC.2010.5873777,Q58022523,"['Q42861264', 'Q54034220', 'Q56849418']"
0000-0002-8656-7942,nan,10.1088/1475-7516/2015/12/041,Q58022358,['Q57093419']
0000-0002-8656-7942,nan,10.1063/1.2125659,Q58022640,
0000-0002-8656-7942,nan,10.1086/526493,Q58022559,['Q58374642']
0000-0002-8656-7942,nan,10.1088/1475-7516/2017/03/043,Q58022327,['Q57093419']
0000-0002-8656-7942,nan,10.1088/1742-6596/110/6/062023,Q58022581,
0000-0002-8656-7942,nan,10.1086/526450,Q58022567,['Q51468949']
0000-0002-8656-7942,nan,10.1088/1475-7516/2009/01/025,Q58022546,"['Q57093419', 'Q57095346']"
0000-0002-8656-7942,nan,10.1088/1126-6708/2009/10/020,Q58022529,"['Q57093419', 'Q60618458']"
0000-0002-8656-7942,nan,10.1088/1475-7516/2015/09/023,Q58022352,['Q57093419']
0000-0002-8656-7942,nan,10.1051/0004-6361/201526877,Q58022376,"['Q57095346', 'Q58316535']"
0000-0002-8656-7942,nan,10.1088/1742-6596/375/1/012029,Q58022504,['Q57093419']
0000-0002-8656-7942,nan,10.1088/1475-7516/2007/04/013,Q58022604,['Q58374642']
0000-0002-8656-7942,nan,10.1088/1367-2630/11/10/105010,Q58022533,['Q57093419']
0000-0002-8656-7942,nan,10.1088/1475-7516/2007/02/007,Q58022605,"['Q57076482', 'Q58323357']"
0000-0002-8656-7942,nan,10.1063/1.2733037,Q58022585,"['Q54034220', 'Q56849420', 'Q60756249']"
0000-0002-8656-7942,nan,10.1088/0004-637X/702/2/825,Q58022524,['Q58374642']
0000-0002-8656-7942,nan,10.1088/1475-7516/2006/01/009,Q58022630,['Q58327380']
0000-0002-8656-7942,nan,10.1088/1475-7516/2004/12/010,Q58022650,"['Q58323357', 'Q59674713']"
0000-0002-8656-7942,nan,10.1051/0004-6361/201526344,Q58022392,
0000-0002-8656-7942,nan,10.1088/1475-7516/2013/11/035,Q58022442,"['Q57093419', 'Q57136554']"
0000-0002-8656-7942,nan,10.1088/1475-7516/2016/08/036,Q58022340,['Q57093419']
0000-0002-8656-7942,nan,10.1088/1475-7516/2006/05/012,Q58022608,
0000-0002-8656-7942,nan,10.1088/1475-7516/2007/06/013,Q58022583,['Q57093419']
0000-0002-8656-7942,nan,10.1088/1475-7516/2014/12/028,Q58022434,"['Q57093419', 'Q63357622']"
0000-0002-8656-7942,nan,10.1088/0031-8949/2006/T127/032,Q58022623,
0000-0002-8656-7942,nan,10.1088/1475-7516/2015/02/023,Q58022373,"['Q57093419', 'Q57136554']"
0000-0002-8656-7942,nan,10.1088/0004-637X/786/2/129,Q58022394,
0000-0002-8656-7942,nan,10.1051/0004-6361/201629903,Q58022333,['Q63357319']
0000-0002-8656-7942,nan,10.1088/1742-6596/39/1/024,Q58022612,"['Q54034220', 'Q56849419']"
0000-0002-8656-7942,nan,10.1063/1.2409111,Q58022622,"['Q54034220', 'Q56849419', 'Q56849420']"
0000-0002-8656-7942,nan,10.1007/978-3-540-73518-2_7,Q58022578,['Q57093419']
0000-0001-7914-7942,nan,10.23885/181433262018142-171176,Q60781627,
0000-0001-5132-0942,nan,10.1039/C8CP03952F,Q91353028,"['Q48357641', 'Q62627087', 'Q64500300']"
0000-0001-5132-0942,nan,10.1039/C9CP02927C,Q92954060,"['Q47448086', 'Q48357641', 'Q54937195', 'Q56561729', 'Q58219947', 'Q62627087', 'Q64500300']"
0000-0001-5132-0942,nan,10.1063/1.4929495,Q59188607,"['Q54937195', 'Q56561731', 'Q56561729']"
0000-0001-5132-0942,nan,10.1117/12.2253104,Q62106005,
0000-0001-5132-0942,nan,10.1117/12.2294987,Q59188550,
0000-0002-6508-8942,nan,10.1101/249003,Q56269848,"['Q28324731', 'Q37632525']"
0000-0002-6508-8942,10499580.0,10.1038/45738,Q41692380,['Q37632525']
0000-0002-6508-8942,15203940.0,10.1080/03008200490278142,Q40544025,"['Q37632525', 'Q41507095']"
0000-0001-7719-2942,nan,10.1209/0295-5075/116/50004,Q62382502,
0000-0001-7719-2942,nan,10.1107/S0108767310042431,Q51622646,['Q81425910']
0000-0001-7719-2942,nan,10.1107/S0108767304010700,Q80243116,
0000-0001-7719-2942,nan,10.1107/S0108767304025358,Q81425911,['Q81425910']
0000-0001-7719-2942,nan,10.1109/TNB.2018.2870331,Q57744988,"['Q61113226', 'Q61113234', 'Q61113241']"
0000-0001-7719-2942,nan,10.1107/S0108767302005202,Q74381599,['Q74381594']
0000-0003-4433-3942,nan,10.1590/1981-81222014000300012,Q59194714,['Q57970430']
0000-0003-4433-3942,nan,10.1111/1556-4029.13850,Q89431482,"['Q37376785', 'Q79516706']"
0000-0003-4433-3942,nan,10.1111/1556-4029.12910,Q41498052,['Q56616624']
0000-0003-4433-3942,nan,10.1007/978-3-319-57466-0,Q59445525,
0000-0003-4433-3942,nan,10.1080/0043824042000303665,Q57667729,"['Q37376785', 'Q59201790']"
0000-0003-4433-3942,nan,10.3378/027.082.0305,Q33637748,['Q37376785']
0000-0003-4433-3942,nan,10.1080/0043824042000303665,Q57667729,"['Q37376785', 'Q59201790']"
0000-0002-5103-0942,nan,10.1056/NEJM198203043060916,Q70275995,
0000-0002-5103-0942,nan,10.1016/0091-6749(80)90181-5,Q71491857,"['Q56417868', 'Q56417872']"
0000-0002-5103-0942,nan,10.1016/S0002-9440(10)63744-3,Q35098041,['Q56417868']
0000-0002-5103-0942,nan,10.1007/BF02592363,Q45868303,['Q56417868']
0000-0002-5103-0942,nan,10.1056/NEJM198008283030918,Q71248286,
0000-0002-5103-0942,nan,10.1177/1076029607308860,Q33155850,
0000-0002-5103-0942,nan,10.1080/13607863.2011.609534,Q53322879,
0000-0002-5103-0942,nan,10.1016/S0041-1345(00)02277-6,Q40818565,"['Q39025521', 'Q56417868', 'Q57712239']"
0000-0002-5103-0942,nan,10.1016/S0197-4580(02)00003-9,Q53352517,"['Q42857263', 'Q56417868']"
0000-0002-5103-0942,nan,10.1097/00000441-198207000-00001,Q70388758,"['Q56417868', 'Q56417872']"
0000-0002-5103-0942,nan,10.1016/0091-6749(91)90120-D,Q44694418,['Q43142579']
0000-0002-5103-0942,nan,10.1016/S0047-6374(01)00311-6,Q48762237,['Q56417868']
0000-0002-5103-0942,nan,10.1080/13607860903586128,Q47432931,
0000-0002-5103-0942,nan,10.1523/JNEUROSCI.0550-04.2004,Q44872469,"['Q42857263', 'Q56417868']"
0000-0002-5103-0942,nan,10.1016/S0016-5107(95)70126-5,Q58418573,"['Q43142579', 'Q56417868', 'Q56417872']"
0000-0002-5103-0942,nan,10.1016/S0002-9343(99)00123-0,Q77910337,"['Q56417868', 'Q56417872']"
0000-0002-5103-0942,nan,10.4061/2011/484021,Q42738860,"['Q43088210', 'Q56417868']"
0000-0002-5103-0942,nan,10.1016/S0197-4580(00)00174-3,Q49058556,['Q56417868']
0000-0002-5103-0942,nan,10.1159/000333799,Q48702462,"['Q30093174', 'Q32425219', 'Q32425238', 'Q43088210', 'Q56417868', 'Q56482061', 'Q56885738', 'Q57079465']"
0000-0002-5103-0942,nan,10.1016/S0171-2985(98)80041-7,Q44018770,
0000-0002-5103-0942,nan,10.1016/S0161-5890(03)00107-X,Q35197943,"['Q56417868', 'Q56417872']"
0000-0002-5103-0942,nan,10.1016/0091-6749(83)90034-9,Q71831123,"['Q56417868', 'Q56417872']"
0000-0002-5103-0942,nan,10.1177/1533317511429323,Q82882308,"['Q30093174', 'Q56417868', 'Q57077651']"
0000-0002-5103-0942,nan,10.3233/JAD-2010-090814,Q43088167,"['Q43088210', 'Q56417868']"
0000-0002-3598-9942,nan,10.3109/10903127.2012.722175,Q51302605,"['Q37372294', 'Q54152736', 'Q64009370']"
0000-0002-3598-9942,24669962.0,10.3109/10903127.2014.891064,Q38199527,"['Q37372294', 'Q54152736', 'Q64009370']"
0000-0002-3598-9942,nan,10.3109/10903127.2012.722175,Q51302605,"['Q37372294', 'Q54152736', 'Q64009370']"
0000-0002-3598-9942,nan,10.3109/10903127.2014.891064,Q38199527,"['Q37372294', 'Q54152736', 'Q64009370']"
0000-0003-4203-9942,nan,10.1080/09548980902984833,Q51815810,['Q48922577']
0000-0002-2042-9942,nan,10.1039/C7CC01298E,Q87880175,"['Q43067082', 'Q57020515', 'Q57063939', 'Q63357304']"
0000-0002-0494-7942,nan,10.1016/S0045-6535(02)00143-1,Q44085870,['Q41942593']
0000-0002-0494-7942,nan,10.2174/1566523218666180105122626,Q47230461,['Q60730095']
0000-0002-0494-7942,29303078.0,10.2174/1566523218666180105122626,Q47230461,['Q60730095']
0000-0002-0494-7942,nan,10.23736/S0026-4970.19.04223-7,Q92260890,['Q60730095']
0000-0002-9322-2942,nan,10.1039/C4CP02902J,Q56804138,"['Q56027715', 'Q83958320', 'Q85433662']"
0000-0002-9322-2942,nan,10.1039/C4CP03708A,Q85770719,"['Q56027715', 'Q83958320', 'Q85433662']"
0000-0002-9322-2942,nan,10.1002/AENM.201602251,Q61313910,"['Q21255648', 'Q44238435', 'Q58280415']"
0000-0002-9322-2942,nan,10.1103/PHYSREVE.87.012904,Q44810074,"['Q51961195', 'Q83958320']"
0000-0002-9322-2942,nan,10.1038/NCOMMS12165,Q37085482,"['Q21255648', 'Q44238435', 'Q57921141', 'Q58280415', 'Q83958320']"
0000-0002-9322-2942,nan,10.1021/ACS.CHEMMATER.7B00965,Q61313409,"['Q21255648', 'Q44238435', 'Q58280415', 'Q61314126']"
0000-0002-9322-2942,nan,10.1103/PHYSREVE.83.037101,Q40327061,"['Q51961195', 'Q73257470', 'Q83958320']"
0000-0002-3021-3942,nan,10.1016/S0021-9797(03)00446-6,Q44857756,
0000-0002-3021-3942,nan,10.1139/S04-025,Q60291057,
0000-0002-3021-3942,nan,10.1080/10643389.2017.1382282,Q57427865,
0000-0002-3021-3942,nan,10.1364/AO.45.001844,Q51238126,['Q42233089']
0000-0002-3021-3942,nan,10.1080/10643389.2017.1382282,Q57427865,
0000-0002-3021-3942,nan,10.3791/58963,Q91662048,"['Q59701478', 'Q86818083']"
0000-0003-2051-8942,nan,10.1155/2017/1946394,Q59146364,
0000-0003-4880-1942,nan,10.1142/S0218863503001602,Q59503485,"['Q59556878', 'Q63927843']"
0000-0003-4880-1942,nan,10.1364/AO.54.003303,Q87295406,"['Q63927842', 'Q63927843']"
0000-0003-4880-1942,nan,10.1364/OE.16.006625,Q33342494,
0000-0003-4880-1942,nan,10.1364/OL.35.001822,Q84340471,"['Q63927842', 'Q63927843', 'Q63927841']"
0000-0003-4880-1942,nan,10.1364/OE.16.016343,Q82286644,"['Q63927842', 'Q63927843']"
0000-0003-4880-1942,nan,10.1364/AO.45.003929,Q39757994,
0000-0003-4880-1942,nan,10.1364/OL.37.000311,Q83380249,"['Q63927842', 'Q63927843']"
0000-0003-4880-1942,nan,10.1364/OE.18.006008,Q56892640,"['Q63927842', 'Q63927843']"
0000-0003-4880-1942,nan,10.1063/1.4863837,Q59503369,"['Q42850133', 'Q60663500', 'Q63927842', 'Q63927843', 'Q63927841']"
0000-0003-4880-1942,nan,10.1364/OE.15.005872,Q45966575,"['Q63927842', 'Q63927843']"
0000-0003-4880-1942,nan,10.1117/12.742910,Q59503454,['Q63927841']
0000-0003-4880-1942,nan,10.1364/OE.21.007505,Q44216328,
0000-0003-4880-1942,nan,10.1364/OL.37.004958,Q40077988,
0000-0003-4880-1942,nan,10.1080/15421400802430521,Q59503449,['Q63927841']
0000-0003-4880-1942,nan,10.1063/1.1431399,Q59503489,['Q63927841']
0000-0003-4880-1942,nan,10.1366/000370208784344497,Q47688435,"['Q57081313', 'Q63927842', 'Q63927843', 'Q63927841']"
0000-0003-0628-1942,nan,10.1177/0145561319872728,Q90385754,"['Q57029599', 'Q90385749']"
0000-0002-7151-7942,nan,10.1007/S11615-010-0001-4,Q57711871,"['Q24050044', 'Q57418963']"
0000-0002-7151-7942,nan,10.1177/1354068810389645,Q57711868,"['Q24050044', 'Q57418963']"
0000-0002-7151-7942,nan,10.1007/S11127-016-0327-6,Q57405907,"['Q2589364', 'Q24050044']"
0000-0002-7151-7942,nan,10.1177/1354068810389645,Q57711868,"['Q24050044', 'Q57418963']"
0000-0002-7151-7942,nan,10.1017/S1743923X1400021X,Q57711861,"['Q24050044', 'Q57418963']"
0000-0001-7773-1942,nan,10.1177/0883073809356710,Q43181570,
0000-0001-7773-1942,nan,10.1097/WNF.0000000000000200,Q38910880,['Q89485838']
0000-0001-7773-1942,nan,10.1212/WNL.0000000000001805,Q35945762,
0000-0001-7773-1942,nan,10.1172/JCI94999,Q47658294,"['Q57337324', 'Q59114506', 'Q82731825']"
0000-0002-0303-9942,12450643.0,10.1016/S0165-0327(01)00470-0,Q46776947,['Q47705230']
0000-0002-0303-9942,25850428.0,10.1177/0004867415579920,Q41104832,"['Q47702937', 'Q47705230']"
0000-0002-0303-9942,24803219.0,10.3109/09638237.2014.910647,Q50645078,['Q47705230']
0000-0002-0303-9942,nan,10.1080/13651501.2017.1401640,Q47436974,"['Q47705230', 'Q58325838', 'Q59306978', 'Q60055168', 'Q60622769']"
0000-0002-0303-9942,21575216.0,10.1186/1471-244X-11-85,Q33901511,['Q47705230']
0000-0002-0303-9942,16400906.0,10.1177/0020764005057386,Q51922510,"['Q47705230', 'Q50779676']"
0000-0002-0303-9942,23089160.0,10.1017/S2045796012000534,Q47948197,"['Q42414501', 'Q47705230', 'Q48172202', 'Q50779676', 'Q59784709']"
0000-0002-0303-9942,23844779.0,10.1186/1472-6963-13-270,Q37009497,"['Q45348036', 'Q47705230', 'Q50779676', 'Q53112989', 'Q58809313']"
0000-0002-0303-9942,nan,10.1017/S0033291719002411,Q90146405,"['Q47705230', 'Q57166099', 'Q86870801']"
0000-0002-0303-9942,26303559.0,10.1016/S2215-0366(15)00055-3,Q30989506,"['Q47503777', 'Q47705230', 'Q56812959', 'Q57419248', 'Q60622769']"
0000-0002-0303-9942,26204327.0,10.3109/09638237.2015.1057324,Q40703795,"['Q47705230', 'Q50779676', 'Q53112989', 'Q58809313']"
0000-0002-0303-9942,30181867.0,10.1177/2045125318769235,Q61822035,"['Q47705230', 'Q60055168']"
0000-0002-0303-9942,25800970.0,10.1017/S0033291715000318,Q38388082,"['Q47702937', 'Q47705230', 'Q58325838', 'Q60948928']"
0000-0002-0303-9942,24074230.0,10.1017/S0033291713002407,Q38145505,"['Q39921501', 'Q45348036', 'Q45741573', 'Q47705230', 'Q59558322']"
0000-0002-1397-4942,nan,10.1155/2014/353614,Q37717823,"['Q37841344', 'Q42706107']"
0000-0002-1397-4942,nan,10.1161/CIRCHEARTFAILURE.114.001300,Q35225793,"['Q37841344', 'Q38543909', 'Q47504427', 'Q50643864', 'Q55483636', 'Q56223707', 'Q57335030']"
0000-0002-1397-4942,nan,10.1097/MAJ.0000000000000512,Q35812293,['Q37841344']
0000-0002-1397-4942,nan,10.1161/ATVBAHA.114.303629,Q34487849,"['Q37841344', 'Q42706107']"
0000-0002-1397-4942,nan,10.1161/CIRCIMAGING.111.963967,Q83620051,['Q37841344']
0000-0002-1397-4942,nan,10.1161/ATVBAHA.110.205377,Q33961757,"['Q37841344', 'Q42706107']"
