orcid,pmid,doi,qID
0000-0002-8656-7942,nan,10.1051/0004-6361/201526877,Q58022376
0000-0002-8656-7942,nan,10.1088/1742-6596/375/1/012029,Q58022504
0000-0002-8656-7942,nan,10.1088/1475-7516/2007/04/013,Q58022604
0000-0002-8656-7942,nan,10.1088/1367-2630/11/10/105010,Q58022533
0000-0002-8656-7942,nan,10.1088/1475-7516/2007/02/007,Q58022605
0000-0002-8656-7942,nan,10.1063/1.2733037,Q58022585
0000-0002-8656-7942,nan,10.1088/0004-637X/702/2/825,Q58022524
0000-0002-8656-7942,nan,10.1088/1475-7516/2006/01/009,Q58022630
0000-0002-8656-7942,nan,10.1088/1475-7516/2004/12/010,Q58022650
0000-0002-8656-7942,nan,10.1051/0004-6361/201526344,Q58022392
0000-0002-8656-7942,nan,10.1088/1475-7516/2013/11/035,Q58022442
0000-0002-8656-7942,nan,10.1088/1475-7516/2016/08/036,Q58022340
0000-0002-8656-7942,nan,10.1088/1475-7516/2006/05/012,Q58022608
0000-0002-8656-7942,nan,10.1088/1475-7516/2007/06/013,Q58022583
0000-0002-8656-7942,nan,10.1088/1475-7516/2014/12/028,Q58022434
0000-0002-8656-7942,nan,10.1088/0031-8949/2006/T127/032,Q58022623
0000-0002-8656-7942,nan,10.1088/1475-7516/2015/02/023,Q58022373
0000-0002-8656-7942,nan,10.1088/0004-637X/786/2/129,Q58022394
0000-0002-8656-7942,nan,10.1051/0004-6361/201629903,Q58022333
0000-0002-8656-7942,nan,10.1088/1742-6596/39/1/024,Q58022612
0000-0002-8656-7942,nan,10.1063/1.2409111,Q58022622
0000-0002-8656-7942,nan,10.1007/978-3-540-73518-2_7,Q58022578
0000-0001-7914-7942,nan,10.23885/181433262018142-171176,Q60781627
0000-0001-5132-0942,nan,10.1039/C8CP03952F,Q91353028
0000-0001-5132-0942,nan,10.1039/C9CP02927C,Q92954060
0000-0001-5132-0942,nan,10.1063/1.4929495,Q59188607
0000-0001-5132-0942,nan,10.1117/12.2253104,Q62106005
0000-0001-5132-0942,nan,10.1117/12.2294987,Q59188550
0000-0002-6508-8942,nan,10.1101/249003,Q56269848
0000-0002-6508-8942,10499580,10.1038/45738,Q41692380
0000-0002-6508-8942,15203940,10.1080/03008200490278142,Q40544025
0000-0001-7719-2942,nan,10.1209/0295-5075/116/50004,Q62382502
0000-0001-7719-2942,nan,10.1107/S0108767310042431,Q51622646
0000-0001-7719-2942,nan,10.1107/S0108767304010700,Q80243116
0000-0001-7719-2942,nan,10.1107/S0108767304025358,Q81425911
0000-0001-7719-2942,nan,10.1109/TNB.2018.2870331,Q57744988
0000-0001-7719-2942,nan,10.1107/S0108767302005202,Q74381599
0000-0003-4433-3942,nan,10.1590/1981-81222014000300012,Q59194714
0000-0003-4433-3942,nan,10.1111/1556-4029.13850,Q89431482
0000-0003-4433-3942,nan,10.1111/1556-4029.12910,Q41498052
0000-0003-4433-3942,nan,10.1007/978-3-319-57466-0,Q59445525
0000-0003-4433-3942,nan,10.1080/0043824042000303665,Q57667729
0000-0003-4433-3942,nan,10.3378/027.082.0305,Q33637748
0000-0003-4433-3942,nan,10.1080/0043824042000303665,Q57667729
0000-0002-5103-0942,nan,10.1056/NEJM198203043060916,Q70275995
0000-0002-5103-0942,nan,10.1016/0091-6749(80)90181-5,Q71491857
0000-0002-5103-0942,nan,10.1016/S0002-9440(10)63744-3,Q35098041
0000-0002-5103-0942,nan,10.1007/BF02592363,Q45868303
0000-0002-5103-0942,nan,10.1056/NEJM198008283030918,Q71248286
0000-0002-5103-0942,nan,10.1177/1076029607308860,Q33155850
0000-0002-5103-0942,nan,10.1080/13607863.2011.609534,Q53322879
0000-0002-5103-0942,nan,10.1016/S0041-1345(00)02277-6,Q40818565
0000-0002-5103-0942,nan,10.1016/S0197-4580(02)00003-9,Q53352517
0000-0002-5103-0942,nan,10.1097/00000441-198207000-00001,Q70388758
0000-0002-5103-0942,nan,10.1016/0091-6749(91)90120-D,Q44694418
0000-0002-5103-0942,nan,10.1016/S0047-6374(01)00311-6,Q48762237
0000-0002-5103-0942,nan,10.1080/13607860903586128,Q47432931
0000-0002-5103-0942,nan,10.1523/JNEUROSCI.0550-04.2004,Q44872469
0000-0002-5103-0942,nan,10.1016/S0016-5107(95)70126-5,Q58418573
0000-0002-5103-0942,nan,10.1016/S0002-9343(99)00123-0,Q77910337
0000-0002-5103-0942,nan,10.4061/2011/484021,Q42738860
0000-0002-5103-0942,nan,10.1016/S0197-4580(00)00174-3,Q49058556
0000-0002-5103-0942,nan,10.1159/000333799,Q48702462
0000-0002-5103-0942,nan,10.1016/S0171-2985(98)80041-7,Q44018770
0000-0002-5103-0942,nan,10.1016/S0161-5890(03)00107-X,Q35197943
0000-0002-5103-0942,nan,10.1016/0091-6749(83)90034-9,Q71831123
0000-0002-5103-0942,nan,10.1177/1533317511429323,Q82882308
0000-0002-5103-0942,nan,10.3233/JAD-2010-090814,Q43088167
0000-0002-3598-9942,nan,10.3109/10903127.2012.722175,Q51302605
0000-0002-3598-9942,24669962,10.3109/10903127.2014.891064,Q38199527
0000-0002-3598-9942,nan,10.3109/10903127.2012.722175,Q51302605
0000-0002-3598-9942,nan,10.3109/10903127.2014.891064,Q38199527
0000-0003-4203-9942,nan,10.1080/09548980902984833,Q51815810
0000-0002-2042-9942,nan,10.1039/C7CC01298E,Q87880175
0000-0002-0494-7942,nan,10.1016/S0045-6535(02)00143-1,Q44085870
0000-0002-0494-7942,nan,10.2174/1566523218666180105122626,Q47230461
0000-0002-0494-7942,29303078,10.2174/1566523218666180105122626,Q47230461
0000-0002-0494-7942,nan,10.23736/S0026-4970.19.04223-7,Q92260890
0000-0002-9322-2942,nan,10.1039/C4CP02902J,Q56804138
0000-0002-9322-2942,nan,10.1039/C4CP03708A,Q85770719
0000-0002-9322-2942,nan,10.1002/AENM.201602251,Q61313910
0000-0002-9322-2942,nan,10.1103/PHYSREVE.87.012904,Q44810074
0000-0002-9322-2942,nan,10.1038/NCOMMS12165,Q37085482
0000-0002-9322-2942,nan,10.1021/ACS.CHEMMATER.7B00965,Q61313409
0000-0002-9322-2942,nan,10.1103/PHYSREVE.83.037101,Q40327061
0000-0002-3021-3942,nan,10.1016/S0021-9797(03)00446-6,Q44857756
0000-0002-3021-3942,nan,10.1139/S04-025,Q60291057
0000-0002-3021-3942,nan,10.1080/10643389.2017.1382282,Q57427865
0000-0002-3021-3942,nan,10.1364/AO.45.001844,Q51238126
0000-0002-3021-3942,nan,10.1080/10643389.2017.1382282,Q57427865
0000-0002-3021-3942,nan,10.3791/58963,Q91662048
0000-0003-2051-8942,nan,10.1155/2017/1946394,Q59146364
0000-0003-4880-1942,nan,10.1142/S0218863503001602,Q59503485
0000-0003-4880-1942,nan,10.1364/AO.54.003303,Q87295406
0000-0003-4880-1942,nan,10.1364/OE.16.006625,Q33342494
0000-0003-4880-1942,nan,10.1364/OL.35.001822,Q84340471
0000-0003-4880-1942,nan,10.1364/OE.16.016343,Q82286644
0000-0003-4880-1942,nan,10.1364/AO.45.003929,Q39757994
0000-0003-4880-1942,nan,10.1364/OL.37.000311,Q83380249
0000-0003-4880-1942,nan,10.1364/OE.18.006008,Q56892640
0000-0003-4880-1942,nan,10.1063/1.4863837,Q59503369
0000-0003-4880-1942,nan,10.1364/OE.15.005872,Q45966575
0000-0003-4880-1942,nan,10.1117/12.742910,Q59503454
0000-0003-4880-1942,nan,10.1364/OE.21.007505,Q44216328
0000-0003-4880-1942,nan,10.1364/OL.37.004958,Q40077988
0000-0003-4880-1942,nan,10.1080/15421400802430521,Q59503449
0000-0003-4880-1942,nan,10.1063/1.1431399,Q59503489
0000-0003-4880-1942,nan,10.1366/000370208784344497,Q47688435
0000-0003-0628-1942,nan,10.1177/0145561319872728,Q90385754
0000-0002-7151-7942,nan,10.1007/S11615-010-0001-4,Q57711871
0000-0002-7151-7942,nan,10.1177/1354068810389645,Q57711868
0000-0002-7151-7942,nan,10.1007/S11127-016-0327-6,Q57405907
0000-0002-7151-7942,nan,10.1177/1354068810389645,Q57711868
0000-0002-7151-7942,nan,10.1017/S1743923X1400021X,Q57711861
0000-0001-7773-1942,nan,10.1177/0883073809356710,Q43181570
0000-0001-7773-1942,nan,10.1097/WNF.0000000000000200,Q38910880
0000-0001-7773-1942,nan,10.1212/WNL.0000000000001805,Q35945762
0000-0001-7773-1942,nan,10.1172/JCI94999,Q47658294
0000-0002-0303-9942,12450643,10.1016/S0165-0327(01)00470-0,Q46776947
0000-0002-0303-9942,25850428,10.1177/0004867415579920,Q41104832
0000-0002-0303-9942,24803219,10.3109/09638237.2014.910647,Q50645078
0000-0002-0303-9942,nan,10.1080/13651501.2017.1401640,Q47436974
0000-0002-0303-9942,21575216,10.1186/1471-244X-11-85,Q33901511
0000-0002-0303-9942,16400906,10.1177/0020764005057386,Q51922510
0000-0002-0303-9942,23089160,10.1017/S2045796012000534,Q47948197
0000-0002-0303-9942,23844779,10.1186/1472-6963-13-270,Q37009497
0000-0002-0303-9942,nan,10.1017/S0033291719002411,Q90146405
0000-0002-0303-9942,26303559,10.1016/S2215-0366(15)00055-3,Q30989506
0000-0002-0303-9942,26204327,10.3109/09638237.2015.1057324,Q40703795
0000-0002-0303-9942,30181867,10.1177/2045125318769235,Q61822035
0000-0002-0303-9942,25800970,10.1017/S0033291715000318,Q38388082
0000-0002-0303-9942,24074230,10.1017/S0033291713002407,Q38145505
0000-0002-1397-4942,nan,10.1155/2014/353614,Q37717823
0000-0002-1397-4942,nan,10.1161/CIRCHEARTFAILURE.114.001300,Q35225793
0000-0002-1397-4942,nan,10.1097/MAJ.0000000000000512,Q35812293
0000-0002-1397-4942,nan,10.1161/ATVBAHA.114.303629,Q34487849
0000-0002-1397-4942,nan,10.1161/CIRCIMAGING.111.963967,Q83620051
0000-0002-1397-4942,nan,10.1161/ATVBAHA.110.205377,Q33961757
0000-0002-1397-4942,nan,10.1161/ATVBAHA.108.182279,Q37238436
0000-0002-1397-4942,nan,10.2215/CJN.12281211,Q37427000
0000-0002-1397-4942,nan,10.1161/ATVBAHA.114.303821,Q34270071
0000-0002-1397-4942,nan,10.1161/CIRCULATIONAHA.111.078436,Q36936495
0000-0001-6829-6942,nan,10.5787/30-2-171,Q58762055
0000-0001-6829-6942,nan,10.2307/3093111,Q58762102
0000-0001-6829-6942,nan,10.1080/03086530903157607,Q58504195
0000-0001-6829-6942,nan,10.2307/1514852,Q58762094
0000-0001-6829-6942,nan,10.1080/02582473.2010.519943,Q58762067
0000-0001-6829-6942,nan,10.1057/9780230290525_8,Q58762070
0000-0001-6829-6942,nan,10.1080/02582473.2011.569368,Q58762064
0000-0001-6829-6942,nan,10.1057/9780230393295,Q58762059
0000-0001-6829-6942,nan,10.2307/2677469,Q58762107
0000-0001-6829-6942,nan,10.1177/0968344516666421,Q58762039
0000-0001-6829-6942,nan,10.2307/1514845,Q58762098
0000-0002-7746-8942,nan,10.1007/82_2017_47,Q47757958
0000-0002-7746-8942,nan,10.1155/2015/491641,Q43239293
0000-0002-7746-8942,12626445,10.1128/CDLI.10.2.216-220.2003,Q39736385
0000-0003-1636-7942,nan,10.1172/JCI42358,Q33968131
0000-0003-1636-7942,nan,10.1016/S0925-4773(00)00405-6,Q73061364
0000-0003-1636-7942,nan,10.1038/33435,Q52188586
0000-0003-1636-7942,nan,10.1023/A:1018444830518,Q73072600
0000-0003-1636-7942,nan,10.1007/BF01976504,Q52211244
0000-0003-3617-3942,nan,10.1080/02640414.2010.548822,Q83578297
0000-0003-3617-3942,nan,10.1155/2014/239708,Q33805322
0000-0003-3617-3942,nan,10.1080/02640414.2010.548822,Q83578297
0000-0003-2562-6942,nan,10.1080/09273948.2018.1510529,Q91181285
0000-0001-6389-0942,11767949,10.1515/BC.2001.194,Q43840170
0000-0001-6389-0942,nan,10.1515/BC.2001.194,Q43840170
0000-0001-6389-0942,nan,10.2174/0929867043455936,Q35668108
0000-0001-6389-0942,nan,10.1016/S0076-6879(06)13001-3,Q54453542
0000-0001-6389-0942,nan,10.1016/S0022-2836(02)01088-4,Q44235328
0000-0001-6389-0942,12460583,10.1016/S0022-2836(02)01088-4,Q44235328
0000-0001-6389-0942,17046388,10.1016/S0076-6879(06)13001-3,Q54453542
0000-0001-6389-0942,14965229,10.2174/0929867043455936,Q35668108
0000-0001-5869-6942,nan,10.1155/2012/971581,Q34408367
0000-0002-1545-1942,nan,10.1364/AO.46.000357,Q31093385
0000-0002-1545-1942,nan,10.1364/AO.46.000357,Q31093385
0000-0001-7146-0942,nan,10.1007/12_2017_1,Q58338133
0000-0003-3823-2942,nan,10.1063/1.4742152,Q51332561
0000-0003-3823-2942,nan,10.1063/1.3488102,Q42857424
0000-0003-3823-2942,nan,10.1088/0953-8984/19/42/425234,Q62681044
0000-0003-3823-2942,nan,10.1039/C5RA11459D,Q59730488
0000-0003-3823-2942,nan,10.1088/0953-8984/21/38/385405,Q84741270
0000-0003-3891-0942,26881711,10.2174/1568026616666160216154946,Q38735521
0000-0003-3891-0942,22911110,10.1158/1940-6207.CAPR-12-0294,Q36213589
0000-0003-3891-0942,23682075,10.1158/1940-6207.CAPR-13-0083,Q36999615
0000-0003-3891-0942,21502553,10.1200/JCO.2010.32.4467,Q35023503
0000-0003-3891-0942,21372031,10.1158/1940-6207.CAPR-09-0014,Q30498812
0000-0003-3891-0942,10763008,10.1177/107327489700400201,Q33890620
0000-0003-3891-0942,27658890,10.1158/1940-6207.CAPR-15-0254,Q37470702
0000-0003-3891-0942,24755313,10.1158/1940-6207.CAPR-13-0438,Q34389438
0000-0003-3891-0942,21464034,10.1158/1940-6207.CAPR-11-0018,Q36786526
0000-0003-3891-0942,25189481,10.1158/1078-0432.CCR-14-0968,Q33417499
0000-0003-3891-0942,29252124,10.1200/JCO.2017.76.6915,Q49679908
0000-0003-3891-0942,26744449,10.1158/1940-6207.CAPR-15-0406,Q37114360
0000-0003-3891-0942,21163939,10.1158/1940-6207.CAPR-10-0182,Q34472750
0000-0003-3891-0942,15322315,10.1155/2004/295712,Q35867890
0000-0003-3891-0942,21158704,10.2174/138945011798184173,Q37821012
0000-0003-3891-0942,21372034,10.1158/1940-6207.CAPR-10-0313,Q34701702
0000-0003-3891-0942,25604134,10.1158/1940-6207.CAPR-14-0148,Q35163569
0000-0003-3891-0942,25667274,10.1200/JCO.2014.58.2007,Q35168763
0000-0003-3891-0942,21733822,10.1158/1940-6207.CAPR-11-0078,Q35156358
0000-0003-3891-0942,25592632,10.1016/S1470-2045(14)71181-7,Q35462240
0000-0003-3891-0942,26429991,10.1158/1078-0432.CCR-15-1846,Q37210896
0000-0003-3891-0942,23531447,10.1158/1940-6207.CAPR-12-0322,Q37270040
0000-0003-3891-0942,22371451,10.1158/1078-0432.CCR-11-2425,Q33161027
0000-0003-3891-0942,24985407,10.1158/1940-6207.CAPR-13-0424,Q34135248
0000-0003-3891-0942,24439931,10.1016/S1470-2045(13)70596-5,Q37638139
0000-0003-3891-0942,23382114,10.1158/1078-0432.CCR-12-2929,Q36698218
0000-0003-3891-0942,20103726,10.1158/1940-6207.CAPR-09-0268,Q33639871
0000-0003-3891-0942,21636542,10.1158/1940-6207.CAPR-11-0214,Q35033296
0000-0003-3891-0942,20504363,10.1186/1758-3284-2-12,Q33931069
